"행정구역","2023년07월_거주자_총인구수","2023년07월_거주자_연령구간인구수","2023년07월_거주자_0~9세","2023년07월_거주자_10~19세","2023년07월_거주자_20~29세","2023년07월_거주자_30~39세","2023년07월_거주자_40~49세","2023년07월_거주자_50~59세","2023년07월_거주자_60~69세","2023년07월_남_거주자_총인구수","2023년07월_남_거주자_연령구간인구수","2023년07월_남_거주자_0~9세","2023년07월_남_거주자_10~19세","2023년07월_남_거주자_20~29세","2023년07월_남_거주자_30~39세","2023년07월_남_거주자_40~49세","2023년07월_남_거주자_50~59세","2023년07월_남_거주자_60~69세","2023년07월_여_거주자_총인구수","2023년07월_여_거주자_연령구간인구수","2023년07월_여_거주자_0~9세","2023년07월_여_거주자_10~19세","2023년07월_여_거주자_20~29세","2023년07월_여_거주자_30~39세","2023년07월_여_거주자_40~49세","2023년07월_여_거주자_50~59세","2023년07월_여_거주자_60~69세","2023년08월_거주자_총인구수","2023년08월_거주자_연령구간인구수","2023년08월_거주자_0~9세","2023년08월_거주자_10~19세","2023년08월_거주자_20~29세","2023년08월_거주자_30~39세","2023년08월_거주자_40~49세","2023년08월_거주자_50~59세","2023년08월_거주자_60~69세","2023년08월_남_거주자_총인구수","2023년08월_남_거주자_연령구간인구수","2023년08월_남_거주자_0~9세","2023년08월_남_거주자_10~19세","2023년08월_남_거주자_20~29세","2023년08월_남_거주자_30~39세","2023년08월_남_거주자_40~49세","2023년08월_남_거주자_50~59세","2023년08월_남_거주자_60~69세","2023년08월_여_거주자_총인구수","2023년08월_여_거주자_연령구간인구수","2023년08월_여_거주자_0~9세","2023년08월_여_거주자_10~19세","2023년08월_여_거주자_20~29세","2023년08월_여_거주자_30~39세","2023년08월_여_거주자_40~49세","2023년08월_여_거주자_50~59세","2023년08월_여_거주자_60~69세","2023년09월_거주자_총인구수","2023년09월_거주자_연령구간인구수","2023년09월_거주자_0~9세","2023년09월_거주자_10~19세","2023년09월_거주자_20~29세","2023년09월_거주자_30~39세","2023년09월_거주자_40~49세","2023년09월_거주자_50~59세","2023년09월_거주자_60~69세","2023년09월_남_거주자_총인구수","2023년09월_남_거주자_연령구간인구수","2023년09월_남_거주자_0~9세","2023년09월_남_거주자_10~19세","2023년09월_남_거주자_20~29세","2023년09월_남_거주자_30~39세","2023년09월_남_거주자_40~49세","2023년09월_남_거주자_50~59세","2023년09월_남_거주자_60~69세","2023년09월_여_거주자_총인구수","2023년09월_여_거주자_연령구간인구수","2023년09월_여_거주자_0~9세","2023년09월_여_거주자_10~19세","2023년09월_여_거주자_20~29세","2023년09월_여_거주자_30~39세","2023년09월_여_거주자_40~49세","2023년09월_여_거주자_50~59세","2023년09월_여_거주자_60~69세","2023년10월_거주자_총인구수","2023년10월_거주자_연령구간인구수","2023년10월_거주자_0~9세","2023년10월_거주자_10~19세","2023년10월_거주자_20~29세","2023년10월_거주자_30~39세","2023년10월_거주자_40~49세","2023년10월_거주자_50~59세","2023년10월_거주자_60~69세","2023년10월_남_거주자_총인구수","2023년10월_남_거주자_연령구간인구수","2023년10월_남_거주자_0~9세","2023년10월_남_거주자_10~19세","2023년10월_남_거주자_20~29세","2023년10월_남_거주자_30~39세","2023년10월_남_거주자_40~49세","2023년10월_남_거주자_50~59세","2023년10월_남_거주자_60~69세","2023년10월_여_거주자_총인구수","2023년10월_여_거주자_연령구간인구수","2023년10월_여_거주자_0~9세","2023년10월_여_거주자_10~19세","2023년10월_여_거주자_20~29세","2023년10월_여_거주자_30~39세","2023년10월_여_거주자_40~49세","2023년10월_여_거주자_50~59세","2023년10월_여_거주자_60~69세","2023년11월_거주자_총인구수","2023년11월_거주자_연령구간인구수","2023년11월_거주자_0~9세","2023년11월_거주자_10~19세","2023년11월_거주자_20~29세","2023년11월_거주자_30~39세","2023년11월_거주자_40~49세","2023년11월_거주자_50~59세","2023년11월_거주자_60~69세","2023년11월_남_거주자_총인구수","2023년11월_남_거주자_연령구간인구수","2023년11월_남_거주자_0~9세","2023년11월_남_거주자_10~19세","2023년11월_남_거주자_20~29세","2023년11월_남_거주자_30~39세","2023년11월_남_거주자_40~49세","2023년11월_남_거주자_50~59세","2023년11월_남_거주자_60~69세","2023년11월_여_거주자_총인구수","2023년11월_여_거주자_연령구간인구수","2023년11월_여_거주자_0~9세","2023년11월_여_거주자_10~19세","2023년11월_여_거주자_20~29세","2023년11월_여_거주자_30~39세","2023년11월_여_거주자_40~49세","2023년11월_여_거주자_50~59세","2023년11월_여_거주자_60~69세","2023년12월_거주자_총인구수","2023년12월_거주자_연령구간인구수","2023년12월_거주자_0~9세","2023년12월_거주자_10~19세","2023년12월_거주자_20~29세","2023년12월_거주자_30~39세","2023년12월_거주자_40~49세","2023년12월_거주자_50~59세","2023년12월_거주자_60~69세","2023년12월_남_거주자_총인구수","2023년12월_남_거주자_연령구간인구수","2023년12월_남_거주자_0~9세","2023년12월_남_거주자_10~19세","2023년12월_남_거주자_20~29세","2023년12월_남_거주자_30~39세","2023년12월_남_거주자_40~49세","2023년12월_남_거주자_50~59세","2023년12월_남_거주자_60~69세","2023년12월_여_거주자_총인구수","2023년12월_여_거주자_연령구간인구수","2023년12월_여_거주자_0~9세","2023년12월_여_거주자_10~19세","2023년12월_여_거주자_20~29세","2023년12월_여_거주자_30~39세","2023년12월_여_거주자_40~49세","2023년12월_여_거주자_50~59세","2023년12월_여_거주자_60~69세"
"경기도 김포시 (4157000000)","484,057","439,841","47,325","52,457","49,651","68,047","93,640","71,264","57,457","241,750","222,452","24,291","26,672","25,469","33,332","48,039","36,422","28,227","242,307","217,389","23,034","25,785","24,182","34,715","45,601","34,842","29,230","483,963","439,537","46,961","52,542","49,484","67,760","93,689","71,421","57,680","241,649","222,266","24,070","26,729","25,358","33,241","48,045","36,475","28,348","242,314","217,271","22,891","25,813","24,126","34,519","45,644","34,946","29,332","483,872","439,254","46,666","52,628","49,413","67,390","93,783","71,556","57,818","241,581","222,122","23,932","26,752","25,365","33,028","48,044","36,583","28,418","242,291","217,132","22,734","25,876","24,048","34,362","45,739","34,973","29,400","483,982","439,201","46,417","52,664","49,392","67,115","93,846","71,715","58,052","241,641","222,111","23,796","26,756","25,404","32,892","48,073","36,637","28,553","242,341","217,090","22,621","25,908","23,988","34,223","45,773","35,078","29,499","484,020","439,137","46,129","52,818","49,292","66,867","93,868","71,984","58,179","241,670","222,081","23,662","26,827","25,349","32,831","48,047","36,732","28,633","242,350","217,056","22,467","25,991","23,943","34,036","45,821","35,252","29,546","484,095","439,015","45,812","52,991","49,222","66,481","93,910","72,402","58,197","241,714","222,048","23,514","26,896","25,340","32,627","48,049","36,961","28,661","242,381","216,967","22,298","26,095","23,882","33,854","45,861","35,441","29,536"
"경기도 김포시 통진읍(4157025000)","33,559","29,240","2,059","2,595","3,705","4,223","4,902","5,962","5,794","17,774","15,952","1,034","1,402","2,153","2,337","2,707","3,262","3,057","15,785","13,288","1,025","1,193","1,552","1,886","2,195","2,700","2,737","33,964","29,608","2,112","2,614","3,725","4,310","4,994","5,990","5,863","17,969","16,130","1,059","1,414","2,159","2,385","2,751","3,259","3,103","15,995","13,478","1,053","1,200","1,566","1,925","2,243","2,731","2,760","34,172","29,789","2,121","2,637","3,742","4,350","5,016","6,024","5,899","18,095","16,248","1,063","1,424","2,186","2,400","2,773","3,273","3,129","16,077","13,541","1,058","1,213","1,556","1,950","2,243","2,751","2,770","34,331","29,938","2,123","2,650","3,757","4,393","5,037","6,035","5,943","18,177","16,327","1,066","1,435","2,207","2,413","2,785","3,266","3,155","16,154","13,611","1,057","1,215","1,550","1,980","2,252","2,769","2,788","34,374","29,959","2,111","2,662","3,728","4,399","5,062","6,038","5,959","18,195","16,336","1,057","1,447","2,183","2,428","2,787","3,265","3,169","16,179","13,623","1,054","1,215","1,545","1,971","2,275","2,773","2,790","34,448","30,009","2,103","2,667","3,736","4,401","5,064","6,068","5,970","18,247","16,378","1,057","1,450","2,202","2,419","2,785","3,281","3,184","16,201","13,631","1,046","1,217","1,534","1,982","2,279","2,787","2,786"
"경기도 김포시 고촌읍(4157025300)","48,036","44,384","5,830","5,311","4,081","7,229","10,235","6,232","5,466","23,847","22,114","3,057","2,712","2,039","3,383","5,206","3,131","2,586","24,189","22,270","2,773","2,599","2,042","3,846","5,029","3,101","2,880","48,066","44,376","5,784","5,362","4,070","7,171","10,293","6,241","5,455","23,863","22,117","3,031","2,742","2,029","3,353","5,239","3,140","2,583","24,203","22,259","2,753","2,620","2,041","3,818","5,054","3,101","2,872","48,049","44,351","5,731","5,403","4,054","7,117","10,322","6,246","5,478","23,863","22,113","3,014","2,762","2,019","3,329","5,245","3,146","2,598","24,186","22,238","2,717","2,641","2,035","3,788","5,077","3,100","2,880","48,116","44,390","5,718","5,413","4,066","7,089","10,351","6,255","5,498","23,903","22,140","3,005","2,763","2,029","3,318","5,266","3,144","2,615","24,213","22,250","2,713","2,650","2,037","3,771","5,085","3,111","2,883","48,155","44,434","5,685","5,460","4,047","7,054","10,397","6,296","5,495","23,933","22,168","2,986","2,791","2,019","3,309","5,280","3,162","2,621","24,222","22,266","2,699","2,669","2,028","3,745","5,117","3,134","2,874","48,202","44,466","5,661","5,500","4,055","7,007","10,418","6,333","5,492","23,943","22,169","2,974","2,798","2,025","3,281","5,278","3,195","2,618","24,259","22,297","2,687","2,702","2,030","3,726","5,140","3,138","2,874"
"경기도 김포시 양촌읍(4157025600)","30,235","26,428","1,988","2,572","3,133","4,025","4,831","4,912","4,967","15,861","14,196","1,037","1,343","1,699","2,169","2,683","2,687","2,578","14,374","12,232","951","1,229","1,434","1,856","2,148","2,225","2,389","30,185","26,348","1,958","2,571","3,116","4,035","4,817","4,861","4,990","15,807","14,126","1,018","1,340","1,686","2,180","2,665","2,653","2,584","14,378","12,222","940","1,231","1,430","1,855","2,152","2,208","2,406","30,145","26,284","1,949","2,575","3,092","4,005","4,815","4,855","4,993","15,773","14,086","1,016","1,341","1,678","2,162","2,661","2,655","2,573","14,372","12,198","933","1,234","1,414","1,843","2,154","2,200","2,420","30,132","26,257","1,940","2,565","3,084","3,992","4,810","4,847","5,019","15,777","14,078","1,013","1,338","1,679","2,156","2,659","2,651","2,582","14,355","12,179","927","1,227","1,405","1,836","2,151","2,196","2,437","30,131","26,251","1,903","2,569","3,073","3,992","4,809","4,863","5,042","15,794","14,093","993","1,340","1,687","2,170","2,656","2,647","2,600","14,337","12,158","910","1,229","1,386","1,822","2,153","2,216","2,442","30,132","26,231","1,894","2,573","3,064","3,984","4,800","4,877","5,039","15,781","14,070","988","1,345","1,683","2,158","2,638","2,665","2,593","14,351","12,161","906","1,228","1,381","1,826","2,162","2,212","2,446"
"경기도 김포시 대곶면(4157034000)","9,611","7,783","288","461","782","802","1,156","2,027","2,267","5,604","4,754","154","252","479","499","729","1,288","1,353","4,007","3,029","134","209","303","303","427","739","914","9,574","7,740","281","456","773","791","1,153","2,028","2,258","5,582","4,726","150","251","474","490","729","1,284","1,348","3,992","3,014","131","205","299","301","424","744","910","9,545","7,716","279","448","764","789","1,142","2,028","2,266","5,564","4,711","150","244","467","491","719","1,285","1,355","3,981","3,005","129","204","297","298","423","743","911","9,519","7,682","282","446","757","779","1,134","2,018","2,266","5,553","4,695","154","245","462","480","716","1,279","1,359","3,966","2,987","128","201","295","299","418","739","907","9,494","7,665","283","440","757","779","1,127","2,010","2,269","5,528","4,674","152","242","458","479","713","1,272","1,358","3,966","2,991","131","198","299","300","414","738","911","9,496","7,661","276","443","748","781","1,125","2,006","2,282","5,527","4,671","148","240","459","478","709","1,271","1,366","3,969","2,990","128","203","289","303","416","735","916"
"경기도 김포시 월곶면(4157035000)","5,216","4,031","109","206","394","387","502","1,028","1,405","2,879","2,303","52","94","235","238","303","601","780","2,337","1,728","57","112","159","149","199","427","625","5,187","4,004","107","201","389","381","489","1,029","1,408","2,863","2,290","50","90","232","238","295","605","780","2,324","1,714","57","111","157","143","194","424","628","5,190","4,003","109","198","395","376","482","1,027","1,416","2,862","2,287","50","90","235","233","290","605","784","2,328","1,716","59","108","160","143","192","422","632","5,189","3,999","108","196","394","373","475","1,028","1,425","2,856","2,280","50","88","235","231","284","605","787","2,333","1,719","58","108","159","142","191","423","638","5,178","3,990","105","190","397","378","471","1,025","1,424","2,855","2,277","49","87","237","231","283","601","789","2,323","1,713","56","103","160","147","188","424","635","5,168","3,977","104","190","387","385","469","1,020","1,422","2,852","2,271","47","87","231","236","285","599","786","2,316","1,706","57","103","156","149","184","421","636"
"경기도 김포시 하성면(4157036000)","7,912","6,141","228","401","640","628","807","1,462","1,975","4,307","3,524","104","240","398","356","488","836","1,102","3,605","2,617","124","161","242","272","319","626","873","7,881","6,105","228","397","628","622","805","1,451","1,974","4,294","3,508","106","238","388","354","487","837","1,098","3,587","2,597","122","159","240","268","318","614","876","7,853","6,072","223","393","622","611","802","1,453","1,968","4,280","3,489","106","233","382","352","482","838","1,096","3,573","2,583","117","160","240","259","320","615","872","7,857","6,063","220","402","620","606","804","1,442","1,969","4,281","3,480","104","236","381","348","484","832","1,095","3,576","2,583","116","166","239","258","320","610","874","7,856","6,056","219","396","615","609","797","1,445","1,975","4,279","3,474","103","234","377","353","476","829","1,102","3,577","2,582","116","162","238","256","321","616","873","7,843","6,039","215","394","608","612","787","1,449","1,974","4,268","3,461","102","230","371","356","463","835","1,104","3,575","2,578","113","164","237","256","324","614","870"
"경기도 김포시 김포본동(4157051500)","58,741","53,060","4,978","6,067","6,874","7,352","9,984","10,197","7,608","28,879","26,450","2,558","3,064","3,642","3,596","4,934","4,882","3,774","29,862","26,610","2,420","3,003","3,232","3,756","5,050","5,315","3,834","58,607","52,910","4,915","6,053","6,842","7,300","9,954","10,215","7,631","28,779","26,346","2,509","3,059","3,620","3,566","4,907","4,897","3,788","29,828","26,564","2,406","2,994","3,222","3,734","5,047","5,318","3,843","58,559","52,847","4,881","6,043","6,830","7,250","9,953","10,229","7,661","28,743","26,314","2,499","3,047","3,618","3,530","4,895","4,919","3,806","29,816","26,533","2,382","2,996","3,212","3,720","5,058","5,310","3,855","58,460","52,723","4,849","6,031","6,805","7,172","9,937","10,228","7,701","28,689","26,254","2,479","3,040","3,605","3,502","4,884","4,916","3,828","29,771","26,469","2,370","2,991","3,200","3,670","5,053","5,312","3,873","58,423","52,675","4,811","6,025","6,804","7,137","9,951","10,243","7,704","28,666","26,220","2,466","3,022","3,610","3,486","4,894","4,919","3,823","29,757","26,455","2,345","3,003","3,194","3,651","5,057","5,324","3,881","58,335","52,566","4,755","6,041","6,777","7,074","9,905","10,302","7,712","28,607","26,158","2,432","3,031","3,600","3,457","4,874","4,937","3,827","29,728","26,408","2,323","3,010","3,177","3,617","5,031","5,365","3,885"
"경기도 김포시 장기본동(4157052500)","38,985","36,101","3,895","5,956","3,833","4,623","8,566","5,690","3,538","18,976","17,725","1,986","3,006","1,953","2,135","4,114","2,901","1,630","20,009","18,376","1,909","2,950","1,880","2,488","4,452","2,789","1,908","38,950","36,065","3,864","5,953","3,840","4,595","8,532","5,734","3,547","18,975","17,726","1,965","3,009","1,962","2,129","4,111","2,910","1,640","19,975","18,339","1,899","2,944","1,878","2,466","4,421","2,824","1,907","38,981","36,078","3,849","5,949","3,850","4,555","8,551","5,763","3,561","18,974","17,714","1,954","3,006","1,955","2,113","4,121","2,926","1,639","20,007","18,364","1,895","2,943","1,895","2,442","4,430","2,837","1,922","39,006","36,097","3,820","5,971","3,854","4,536","8,540","5,800","3,576","18,995","17,731","1,946","3,018","1,962","2,099","4,122","2,934","1,650","20,011","18,366","1,874","2,953","1,892","2,437","4,418","2,866","1,926","39,081","36,165","3,811","6,001","3,847","4,526","8,541","5,842","3,597","19,039","17,772","1,942","3,032","1,954","2,109","4,114","2,961","1,660","20,042","18,393","1,869","2,969","1,893","2,417","4,427","2,881","1,937","39,102","36,172","3,762","5,999","3,880","4,501","8,509","5,918","3,603","19,080","17,806","1,935","3,030","1,964","2,103","4,109","2,998","1,667","20,022","18,366","1,827","2,969","1,916","2,398","4,400","2,920","1,936"
"경기도 김포시 사우동(4157054000)","21,520","19,062","1,215","1,992","2,637","2,610","3,382","4,040","3,186","10,780","9,771","650","1,052","1,394","1,371","1,709","2,010","1,585","10,740","9,291","565","940","1,243","1,239","1,673","2,030","1,601","21,491","19,026","1,192","1,999","2,626","2,604","3,371","4,028","3,206","10,757","9,748","635","1,052","1,387","1,379","1,702","2,002","1,591","10,734","9,278","557","947","1,239","1,225","1,669","2,026","1,615","21,375","18,908","1,170","1,987","2,594","2,586","3,341","4,021","3,209","10,698","9,689","624","1,044","1,380","1,359","1,690","1,994","1,598","10,677","9,219","546","943","1,214","1,227","1,651","2,027","1,611","21,316","18,852","1,150","1,970","2,584","2,583","3,314","4,021","3,230","10,660","9,657","611","1,035","1,377","1,349","1,678","2,001","1,606","10,656","9,195","539","935","1,207","1,234","1,636","2,020","1,624","21,310","18,841","1,146","1,973","2,585","2,569","3,300","4,034","3,234","10,652","9,647","604","1,036","1,380","1,341","1,669","2,006","1,611","10,658","9,194","542","937","1,205","1,228","1,631","2,028","1,623","21,276","18,796","1,149","1,964","2,573","2,555","3,285","4,045","3,225","10,643","9,638","607","1,036","1,375","1,335","1,667","2,010","1,608","10,633","9,158","542","928","1,198","1,220","1,618","2,035","1,617"
