"1,092","1,346","1,632","2,140","2,729","2,684","2,377","1,482","1,040","1,231","1,360","1,796","2,140","2,235","2,244","1,968"
"1,090","1,347","1,638","2,146","2,726","2,670","2,414","1,494","1,037","1,226","1,371","1,800","2,139","2,238","2,262","1,973"
"1,087","1,347","1,630","2,129","2,723","2,670","2,433","1,508","1,024","1,235","1,360","1,805","2,147","2,232","2,269","1,984"
"1,080","1,341","1,622","2,105","2,729","2,669","2,441","1,523","1,017","1,232","1,357","1,802","2,145","2,219","2,269","1,990"
"1,065","1,348","1,623","2,075","2,729","2,676","2,454","1,531","1,005","1,240","1,345","1,792","2,136","2,229","2,275","1,998"
"1,057","1,344","1,624","2,079","2,740","2,675","2,456","1,536","1,002","1,235","1,360","1,782","2,149","2,236","2,287","2,002"
"1,053","1,346","1,634","2,096","2,724","2,693","2,474","1,553",990,"1,240","1,381","1,782","2,159","2,230","2,302","2,021"
"1,054","1,344","1,644","2,098","2,712","2,700","2,507","1,558",973,"1,245","1,384","1,777","2,151","2,228","2,316","2,031"
"1,053","1,335","1,636","2,113","2,688","2,686","2,518","1,570",967,"1,234","1,385","1,771","2,152","2,228","2,319","2,042"
"1,063","1,336","1,641","2,110","2,681","2,669","2,536","1,587",962,"1,230","1,376","1,782","2,145","2,222","2,326","2,058"
"1,055","1,330","1,616","2,117","2,686","2,673","2,539","1,604",954,"1,232","1,357","1,779","2,145","2,222","2,334","2,060"
"1,057","1,341","1,677","2,173","2,683","2,699","2,568","1,640",964,"1,237","1,429","1,853","2,145","2,244","2,374","2,112"
"1,037","1,343","1,699","2,169","2,683","2,687","2,578","1,665",951,"1,229","1,434","1,856","2,148","2,225","2,389","2,142"
"1,018","1,340","1,686","2,180","2,665","2,653","2,584","1,681",940,"1,231","1,430","1,855","2,152","2,208","2,406","2,156"
"1,016","1,341","1,678","2,162","2,661","2,655","2,573","1,687",933,"1,234","1,414","1,843","2,154","2,200","2,420","2,174"
"1,013","1,338","1,679","2,156","2,659","2,651","2,582","1,699",927,"1,227","1,405","1,836","2,151","2,196","2,437","2,176"
993,"1,340","1,687","2,170","2,656","2,647","2,600","1,701",910,"1,229","1,386","1,822","2,153","2,216","2,442","2,179"
988,"1,345","1,683","2,158","2,638","2,665","2,593","1,711",906,"1,228","1,381","1,826","2,162","2,212","2,446","2,190"
