"행정구역","2023년01월_거주자_총인구수","2023년01월_거주자_연령구간인구수","2023년01월_거주자_0~9세","2023년01월_거주자_10~19세","2023년01월_거주자_20~29세","2023년01월_거주자_30~39세","2023년01월_거주자_40~49세","2023년01월_거주자_50~59세","2023년01월_거주자_60~69세","2023년01월_남_거주자_총인구수","2023년01월_남_거주자_연령구간인구수","2023년01월_남_거주자_0~9세","2023년01월_남_거주자_10~19세","2023년01월_남_거주자_20~29세","2023년01월_남_거주자_30~39세","2023년01월_남_거주자_40~49세","2023년01월_남_거주자_50~59세","2023년01월_남_거주자_60~69세","2023년01월_여_거주자_총인구수","2023년01월_여_거주자_연령구간인구수","2023년01월_여_거주자_0~9세","2023년01월_여_거주자_10~19세","2023년01월_여_거주자_20~29세","2023년01월_여_거주자_30~39세","2023년01월_여_거주자_40~49세","2023년01월_여_거주자_50~59세","2023년01월_여_거주자_60~69세","2023년02월_거주자_총인구수","2023년02월_거주자_연령구간인구수","2023년02월_거주자_0~9세","2023년02월_거주자_10~19세","2023년02월_거주자_20~29세","2023년02월_거주자_30~39세","2023년02월_거주자_40~49세","2023년02월_거주자_50~59세","2023년02월_거주자_60~69세","2023년02월_남_거주자_총인구수","2023년02월_남_거주자_연령구간인구수","2023년02월_남_거주자_0~9세","2023년02월_남_거주자_10~19세","2023년02월_남_거주자_20~29세","2023년02월_남_거주자_30~39세","2023년02월_남_거주자_40~49세","2023년02월_남_거주자_50~59세","2023년02월_남_거주자_60~69세","2023년02월_여_거주자_총인구수","2023년02월_여_거주자_연령구간인구수","2023년02월_여_거주자_0~9세","2023년02월_여_거주자_10~19세","2023년02월_여_거주자_20~29세","2023년02월_여_거주자_30~39세","2023년02월_여_거주자_40~49세","2023년02월_여_거주자_50~59세","2023년02월_여_거주자_60~69세","2023년03월_거주자_총인구수","2023년03월_거주자_연령구간인구수","2023년03월_거주자_0~9세","2023년03월_거주자_10~19세","2023년03월_거주자_20~29세","2023년03월_거주자_30~39세","2023년03월_거주자_40~49세","2023년03월_거주자_50~59세","2023년03월_거주자_60~69세","2023년03월_남_거주자_총인구수","2023년03월_남_거주자_연령구간인구수","2023년03월_남_거주자_0~9세","2023년03월_남_거주자_10~19세","2023년03월_남_거주자_20~29세","2023년03월_남_거주자_30~39세","2023년03월_남_거주자_40~49세","2023년03월_남_거주자_50~59세","2023년03월_남_거주자_60~69세","2023년03월_여_거주자_총인구수","2023년03월_여_거주자_연령구간인구수","2023년03월_여_거주자_0~9세","2023년03월_여_거주자_10~19세","2023년03월_여_거주자_20~29세","2023년03월_여_거주자_30~39세","2023년03월_여_거주자_40~49세","2023년03월_여_거주자_50~59세","2023년03월_여_거주자_60~69세","2023년04월_거주자_총인구수","2023년04월_거주자_연령구간인구수","2023년04월_거주자_0~9세","2023년04월_거주자_10~19세","2023년04월_거주자_20~29세","2023년04월_거주자_30~39세","2023년04월_거주자_40~49세","2023년04월_거주자_50~59세","2023년04월_거주자_60~69세","2023년04월_남_거주자_총인구수","2023년04월_남_거주자_연령구간인구수","2023년04월_남_거주자_0~9세","2023년04월_남_거주자_10~19세","2023년04월_남_거주자_20~29세","2023년04월_남_거주자_30~39세","2023년04월_남_거주자_40~49세","2023년04월_남_거주자_50~59세","2023년04월_남_거주자_60~69세","2023년04월_여_거주자_총인구수","2023년04월_여_거주자_연령구간인구수","2023년04월_여_거주자_0~9세","2023년04월_여_거주자_10~19세","2023년04월_여_거주자_20~29세","2023년04월_여_거주자_30~39세","2023년04월_여_거주자_40~49세","2023년04월_여_거주자_50~59세","2023년04월_여_거주자_60~69세","2023년05월_거주자_총인구수","2023년05월_거주자_연령구간인구수","2023년05월_거주자_0~9세","2023년05월_거주자_10~19세","2023년05월_거주자_20~29세","2023년05월_거주자_30~39세","2023년05월_거주자_40~49세","2023년05월_거주자_50~59세","2023년05월_거주자_60~69세","2023년05월_남_거주자_총인구수","2023년05월_남_거주자_연령구간인구수","2023년05월_남_거주자_0~9세","2023년05월_남_거주자_10~19세","2023년05월_남_거주자_20~29세","2023년05월_남_거주자_30~39세","2023년05월_남_거주자_40~49세","2023년05월_남_거주자_50~59세","2023년05월_남_거주자_60~69세","2023년05월_여_거주자_총인구수","2023년05월_여_거주자_연령구간인구수","2023년05월_여_거주자_0~9세","2023년05월_여_거주자_10~19세","2023년05월_여_거주자_20~29세","2023년05월_여_거주자_30~39세","2023년05월_여_거주자_40~49세","2023년05월_여_거주자_50~59세","2023년05월_여_거주자_60~69세","2023년06월_거주자_총인구수","2023년06월_거주자_연령구간인구수","2023년06월_거주자_0~9세","2023년06월_거주자_10~19세","2023년06월_거주자_20~29세","2023년06월_거주자_30~39세","2023년06월_거주자_40~49세","2023년06월_거주자_50~59세","2023년06월_거주자_60~69세","2023년06월_남_거주자_총인구수","2023년06월_남_거주자_연령구간인구수","2023년06월_남_거주자_0~9세","2023년06월_남_거주자_10~19세","2023년06월_남_거주자_20~29세","2023년06월_남_거주자_30~39세","2023년06월_남_거주자_40~49세","2023년06월_남_거주자_50~59세","2023년06월_남_거주자_60~69세","2023년06월_여_거주자_총인구수","2023년06월_여_거주자_연령구간인구수","2023년06월_여_거주자_0~9세","2023년06월_여_거주자_10~19세","2023년06월_여_거주자_20~29세","2023년06월_여_거주자_30~39세","2023년06월_여_거주자_40~49세","2023년06월_여_거주자_50~59세","2023년06월_여_거주자_60~69세"
"경기도 김포시 (4157000000)","482,739","440,061","48,932","51,868","50,206","69,442","93,347","70,219","56,047","241,119","222,462","25,023","26,386","25,724","33,917","48,083","35,874","27,455","241,620","217,599","23,909","25,482","24,482","35,525","45,264","34,345","28,592","482,543","439,647","48,607","51,891","49,998","68,906","93,486","70,416","56,343","241,036","222,294","24,877","26,405","25,617","33,690","48,079","35,984","27,642","241,507","217,353","23,730","25,486","24,381","35,216","45,407","34,432","28,701","482,517","439,286","48,334","51,927","49,870","68,715","93,304","70,590","56,546","240,998","222,125","24,756","26,407","25,503","33,669","47,928","36,100","27,762","241,519","217,161","23,578","25,520","24,367","35,046","45,376","34,490","28,784","482,449","438,994","47,950","52,013","49,746","68,458","93,345","70,607","56,875","240,985","222,018","24,604","26,445","25,456","33,556","47,951","36,060","27,946","241,464","216,976","23,346","25,568","24,290","34,902","45,394","34,547","28,929","483,005","439,255","47,745","52,159","49,654","68,316","93,449","70,927","57,005","241,280","222,194","24,497","26,529","25,444","33,481","48,014","36,216","28,013","241,725","217,061","23,248","25,630","24,210","34,835","45,435","34,711","28,992","483,681","439,678","47,535","52,287","49,727","68,192","93,552","71,166","57,219","241,597","222,410","24,404","26,586","25,504","33,395","48,037","36,353","28,131","242,084","217,268","23,131","25,701","24,223","34,797","45,515","34,813","29,088"
"경기도 김포시 통진읍(4157025000)","31,067","27,047","1,776","2,456","3,595","3,579","4,480","5,724","5,437","16,518","14,817","897","1,329","2,098","2,009","2,473","3,146","2,865","14,549","12,230","879","1,127","1,497","1,570","2,007","2,578","2,572","31,341","27,262","1,798","2,463","3,579","3,606","4,536","5,751","5,529","16,650","14,921","903","1,337","2,091","2,010","2,507","3,152","2,921","14,691","12,341","895","1,126","1,488","1,596","2,029","2,599","2,608","31,540","27,383","1,788","2,465","3,598","3,643","4,544","5,778","5,567","16,753","14,992","896","1,335","2,098","2,038","2,519","3,171","2,935","14,787","12,391","892","1,130","1,500","1,605","2,025","2,607","2,632","31,736","27,530","1,800","2,476","3,608","3,686","4,553","5,789","5,618","16,846","15,072","889","1,345","2,105","2,061","2,526","3,183","2,963","14,890","12,458","911","1,131","1,503","1,625","2,027","2,606","2,655","32,556","28,310","1,926","2,529","3,660","3,933","4,707","5,857","5,698","17,259","15,467","951","1,366","2,125","2,193","2,615","3,214","3,003","15,297","12,843","975","1,163","1,535","1,740","2,092","2,643","2,695","32,874","28,582","1,970","2,537","3,651","4,018","4,773","5,906","5,727","17,441","15,626","984","1,366","2,122","2,241","2,639","3,246","3,028","15,433","12,956","986","1,171","1,529","1,777","2,134","2,660","2,699"
"경기도 김포시 고촌읍(4157025300)","47,677","44,178","5,983","5,151","4,027","7,520","9,973","6,126","5,398","23,679","22,020","3,120","2,659","2,006","3,496","5,108","3,081","2,550","23,998","22,158","2,863","2,492","2,021","4,024","4,865","3,045","2,848","47,757","44,239","5,981","5,180","4,019","7,461","10,040","6,147","5,411","23,717","22,045","3,129","2,669","2,003","3,467","5,141","3,083","2,553","24,040","22,194","2,852","2,511","2,016","3,994","4,899","3,064","2,858","47,787","44,223","5,928","5,207","4,030","7,415","10,052","6,182","5,409","23,746","22,051","3,106","2,681","2,014","3,455","5,139","3,109","2,547","24,041","22,172","2,822","2,526","2,016","3,960","4,913","3,073","2,862","47,866","44,272","5,881","5,242","4,057","7,375","10,129","6,181","5,407","23,778","22,068","3,088","2,688","2,023","3,437","5,177","3,097","2,558","24,088","22,204","2,793","2,554","2,034","3,938","4,952","3,084","2,849","47,893","44,272","5,860","5,261","4,064","7,316","10,149","6,203","5,419","23,807","22,091","3,075","2,700","2,026","3,427","5,183","3,105","2,575","24,086","22,181","2,785","2,561","2,038","3,889","4,966","3,098","2,844","47,947","44,313","5,838","5,280","4,074","7,287","10,202","6,200","5,432","23,803","22,085","3,063","2,699","2,032","3,407","5,199","3,111","2,574","24,144","22,228","2,775","2,581","2,042","3,880","5,003","3,089","2,858"
"경기도 김포시 양촌읍(4157025600)","29,678","26,104","2,043","2,586","3,015","3,878","4,883","4,923","4,776","15,573","14,020","1,053","1,346","1,634","2,096","2,724","2,693","2,474","14,105","12,084","990","1,240","1,381","1,782","2,159","2,230","2,302","29,722","26,133","2,027","2,589","3,028","3,875","4,863","4,928","4,823","15,617","14,059","1,054","1,344","1,644","2,098","2,712","2,700","2,507","14,105","12,074","973","1,245","1,384","1,777","2,151","2,228","2,316","29,697","26,085","2,020","2,569","3,021","3,884","4,840","4,914","4,837","15,599","14,029","1,053","1,335","1,636","2,113","2,688","2,686","2,518","14,098","12,056","967","1,234","1,385","1,771","2,152","2,228","2,319","29,724","26,079","2,025","2,566","3,017","3,892","4,826","4,891","4,862","15,623","14,036","1,063","1,336","1,641","2,110","2,681","2,669","2,536","14,101","12,043","962","1,230","1,376","1,782","2,145","2,222","2,326","29,703","26,039","2,009","2,562","2,973","3,896","4,831","4,895","4,873","15,620","14,016","1,055","1,330","1,616","2,117","2,686","2,673","2,539","14,083","12,023","954","1,232","1,357","1,779","2,145","2,222","2,334","30,196","26,444","2,021","2,578","3,106","4,026","4,828","4,943","4,942","15,838","14,198","1,057","1,341","1,677","2,173","2,683","2,699","2,568","14,358","12,246","964","1,237","1,429","1,853","2,145","2,244","2,374"
"경기도 김포시 대곶면(4157034000)","9,809","7,994","307","482","829","848","1,195","2,102","2,231","5,702","4,851","163","259","503","532","746","1,331","1,317","4,107","3,143","144","223","326","316","449","771","914","9,781","7,962","305","482","828","836","1,191","2,074","2,246","5,691","4,837","161","257","506","527","749","1,314","1,323","4,090","3,125","144","225","322","309","442","760","923","9,721","7,904","303","476","804","831","1,177","2,055","2,258","5,659","4,811","161","254","490","524","740","1,299","1,343","4,062","3,093","142","222","314","307","437","756","915","9,696","7,880","300","475","799","831","1,167","2,030","2,278","5,642","4,796","159","255","487","524","730","1,288","1,353","4,054","3,084","141","220","312","307","437","742","925","9,657","7,833","294","464","795","821","1,168","2,024","2,267","5,627","4,776","157","251","490","514","732","1,291","1,341","4,030","3,057","137","213","305","307","436","733","926","9,642","7,816","291","459","794","806","1,167","2,022","2,277","5,616","4,772","157","249","489","501","736","1,283","1,357","4,026","3,044","134","210","305","305","431","739","920"
"경기도 김포시 월곶면(4157035000)","5,308","4,127","119","229","422","404","544","1,039","1,370","2,911","2,347","58","105","252","243","329","605","755","2,397","1,780","61","124","170","161","215","434","615","5,287","4,106","116","226","416","405","533","1,029","1,381","2,903","2,340","55","106","249","244","321","601","764","2,384","1,766","61","120","167","161","212","428","617","5,277","4,085","118","220","404","405","522","1,031","1,385","2,897","2,329","56","99","242","245","312","603","772","2,380","1,756","62","121","162","160","210","428","613","5,260","4,076","114","213","404","405","523","1,019","1,398","2,893","2,326","55","95","244","246","317","592","777","2,367","1,750","59","118","160","159","206","427","621","5,260","4,071","113","213","403","396","514","1,027","1,405","2,889","2,316","55","96","241","241","310","599","774","2,371","1,755","58","117","162","155","204","428","631","5,240","4,052","112","211","404","387","509","1,024","1,405","2,883","2,311","55","96","241","239","306","595","779","2,357","1,741","57","115","163","148","203","429","626"
"경기도 김포시 하성면(4157036000)","8,036","6,305","233","423","690","651","831","1,521","1,956","4,372","3,611","109","250","430","370","504","859","1,089","3,664","2,694","124","173","260","281","327","662","867","8,015","6,272","237","417","678","642","830","1,513","1,955","4,361","3,593","111","246","424","367","506","851","1,088","3,654","2,679","126","171","254","275","324","662","867","7,990","6,241","232","415","660","641","828","1,506","1,959","4,343","3,577","109","245","416","365","500","850","1,092","3,647","2,664","123","170","244","276","328","656","867","7,930","6,184","230","400","646","643","817","1,478","1,970","4,307","3,541","108","237","402","364","494","837","1,099","3,623","2,643","122","163","244","279","323","641","871","7,909","6,159","227","400","646","635","810","1,477","1,964","4,305","3,535","106","238","402","361","489","840","1,099","3,604","2,624","121","162","244","274","321","637","865","7,933","6,167","233","397","641","640","816","1,468","1,972","4,317","3,539","109","238","398","363","492","838","1,101","3,616","2,628","124","159","243","277","324","630","871"
"경기도 김포시 김포본동(4157051500)","59,204","53,687","5,187","6,208","7,115","7,426","10,109","10,225","7,417","29,080","26,736","2,644","3,123","3,767","3,612","4,974","4,937","3,679","30,124","26,951","2,543","3,085","3,348","3,814","5,135","5,288","3,738","59,038","53,504","5,139","6,168","7,060","7,377","10,085","10,236","7,439","28,993","26,635","2,616","3,118","3,733","3,584","4,969","4,929","3,686","30,045","26,869","2,523","3,050","3,327","3,793","5,116","5,307","3,753","59,044","53,485","5,130","6,140","7,042","7,379","10,067","10,243","7,484","28,987","26,613","2,612","3,099","3,716","3,592","4,968","4,925","3,701","30,057","26,872","2,518","3,041","3,326","3,787","5,099","5,318","3,783","59,002","53,402","5,104","6,105","7,014","7,377","10,037","10,223","7,542","28,984","26,594","2,613","3,086","3,691","3,602","4,961","4,902","3,739","30,018","26,808","2,491","3,019","3,323","3,775","5,076","5,321","3,803","58,959","53,324","5,074","6,085","6,991","7,369","10,018","10,228","7,559","28,993","26,590","2,602","3,084","3,697","3,602","4,946","4,913","3,746","29,966","26,734","2,472","3,001","3,294","3,767","5,072","5,315","3,813","58,902","53,234","5,039","6,073","6,943","7,352","10,006","10,231","7,590","28,959","26,542","2,594","3,070","3,673","3,586","4,942","4,904","3,773","29,943","26,692","2,445","3,003","3,270","3,766","5,064","5,327","3,817"
"경기도 김포시 장기본동(4157052500)","38,826","36,027","4,072","5,871","3,864","4,700","8,556","5,502","3,462","18,923","17,688","2,066","2,982","1,931","2,161","4,163","2,796","1,589","19,903","18,339","2,006","2,889","1,933","2,539","4,393","2,706","1,873","38,849","36,041","4,030","5,886","3,849","4,673","8,585","5,546","3,472","18,920","17,688","2,045","2,988","1,923","2,148","4,160","2,833","1,591","19,929","18,353","1,985","2,898","1,926","2,525","4,425","2,713","1,881","38,873","36,033","4,007","5,856","3,854","4,703","8,558","5,572","3,483","18,933","17,687","2,028","2,966","1,938","2,169","4,137","2,854","1,595","19,940","18,346","1,979","2,890","1,916","2,534","4,421","2,718","1,888","38,914","36,061","3,961","5,900","3,834","4,688","8,572","5,607","3,499","18,949","17,702","2,011","2,989","1,925","2,170","4,131","2,865","1,611","19,965","18,359","1,950","2,911","1,909","2,518","4,441","2,742","1,888","38,983","36,109","3,955","5,924","3,827","4,658","8,598","5,640","3,507","18,981","17,728","2,012","2,998","1,928","2,151","4,150","2,875","1,614","20,002","18,381","1,943","2,926","1,899","2,507","4,448","2,765","1,893","38,944","36,070","3,909","5,928","3,841","4,640","8,568","5,670","3,514","18,965","17,715","1,991","2,994","1,953","2,139","4,131","2,888","1,619","19,979","18,355","1,918","2,934","1,888","2,501","4,437","2,782","1,895"
"경기도 김포시 사우동(4157054000)","21,790","19,388","1,295","2,024","2,762","2,687","3,499","4,037","3,084","10,910","9,922","688","1,065","1,477","1,405","1,765","1,993","1,529","10,880","9,466","607","959","1,285","1,282","1,734","2,044","1,555","21,714","19,294","1,275","2,015","2,744","2,659","3,459","4,054","3,088","10,883","9,888","683","1,058","1,470","1,391","1,747","2,000","1,539","10,831","9,406","592","957","1,274","1,268","1,712","2,054","1,549","21,664","19,240","1,258","2,014","2,719","2,657","3,436","4,049","3,107","10,861","9,863","679","1,058","1,443","1,392","1,737","2,000","1,554","10,803","9,377","579","956","1,276","1,265","1,699","2,049","1,553","21,612","19,190","1,246","1,997","2,696","2,651","3,428","4,027","3,145","10,832","9,837","672","1,050","1,431","1,387","1,732","1,991","1,574","10,780","9,353","574","947","1,265","1,264","1,696","2,036","1,571","21,608","19,165","1,241","1,997","2,676","2,638","3,419","4,049","3,145","10,828","9,828","671","1,048","1,421","1,378","1,734","1,995","1,581","10,780","9,337","570","949","1,255","1,260","1,685","2,054","1,564","21,551","19,111","1,226","1,995","2,651","2,635","3,406","4,044","3,154","10,802","9,801","660","1,050","1,407","1,382","1,725","2,002","1,575","10,749","9,310","566","945","1,244","1,253","1,681","2,042","1,579"
