"행정구역","2022년01월_거주자_총인구수","2022년01월_거주자_연령구간인구수","2022년01월_거주자_0~9세","2022년01월_거주자_10~19세","2022년01월_거주자_20~29세","2022년01월_거주자_30~39세","2022년01월_거주자_40~49세","2022년01월_거주자_50~59세","2022년01월_거주자_60~69세","2022년01월_남_거주자_총인구수","2022년01월_남_거주자_연령구간인구수","2022년01월_남_거주자_0~9세","2022년01월_남_거주자_10~19세","2022년01월_남_거주자_20~29세","2022년01월_남_거주자_30~39세","2022년01월_남_거주자_40~49세","2022년01월_남_거주자_50~59세","2022년01월_남_거주자_60~69세","2022년01월_여_거주자_총인구수","2022년01월_여_거주자_연령구간인구수","2022년01월_여_거주자_0~9세","2022년01월_여_거주자_10~19세","2022년01월_여_거주자_20~29세","2022년01월_여_거주자_30~39세","2022년01월_여_거주자_40~49세","2022년01월_여_거주자_50~59세","2022년01월_여_거주자_60~69세","2022년02월_거주자_총인구수","2022년02월_거주자_연령구간인구수","2022년02월_거주자_0~9세","2022년02월_거주자_10~19세","2022년02월_거주자_20~29세","2022년02월_거주자_30~39세","2022년02월_거주자_40~49세","2022년02월_거주자_50~59세","2022년02월_거주자_60~69세","2022년02월_남_거주자_총인구수","2022년02월_남_거주자_연령구간인구수","2022년02월_남_거주자_0~9세","2022년02월_남_거주자_10~19세","2022년02월_남_거주자_20~29세","2022년02월_남_거주자_30~39세","2022년02월_남_거주자_40~49세","2022년02월_남_거주자_50~59세","2022년02월_남_거주자_60~69세","2022년02월_여_거주자_총인구수","2022년02월_여_거주자_연령구간인구수","2022년02월_여_거주자_0~9세","2022년02월_여_거주자_10~19세","2022년02월_여_거주자_20~29세","2022년02월_여_거주자_30~39세","2022년02월_여_거주자_40~49세","2022년02월_여_거주자_50~59세","2022년02월_여_거주자_60~69세","2022년03월_거주자_총인구수","2022년03월_거주자_연령구간인구수","2022년03월_거주자_0~9세","2022년03월_거주자_10~19세","2022년03월_거주자_20~29세","2022년03월_거주자_30~39세","2022년03월_거주자_40~49세","2022년03월_거주자_50~59세","2022년03월_거주자_60~69세","2022년03월_남_거주자_총인구수","2022년03월_남_거주자_연령구간인구수","2022년03월_남_거주자_0~9세","2022년03월_남_거주자_10~19세","2022년03월_남_거주자_20~29세","2022년03월_남_거주자_30~39세","2022년03월_남_거주자_40~49세","2022년03월_남_거주자_50~59세","2022년03월_남_거주자_60~69세","2022년03월_여_거주자_총인구수","2022년03월_여_거주자_연령구간인구수","2022년03월_여_거주자_0~9세","2022년03월_여_거주자_10~19세","2022년03월_여_거주자_20~29세","2022년03월_여_거주자_30~39세","2022년03월_여_거주자_40~49세","2022년03월_여_거주자_50~59세","2022년03월_여_거주자_60~69세","2022년04월_거주자_총인구수","2022년04월_거주자_연령구간인구수","2022년04월_거주자_0~9세","2022년04월_거주자_10~19세","2022년04월_거주자_20~29세","2022년04월_거주자_30~39세","2022년04월_거주자_40~49세","2022년04월_거주자_50~59세","2022년04월_거주자_60~69세","2022년04월_남_거주자_총인구수","2022년04월_남_거주자_연령구간인구수","2022년04월_남_거주자_0~9세","2022년04월_남_거주자_10~19세","2022년04월_남_거주자_20~29세","2022년04월_남_거주자_30~39세","2022년04월_남_거주자_40~49세","2022년04월_남_거주자_50~59세","2022년04월_남_거주자_60~69세","2022년04월_여_거주자_총인구수","2022년04월_여_거주자_연령구간인구수","2022년04월_여_거주자_0~9세","2022년04월_여_거주자_10~19세","2022년04월_여_거주자_20~29세","2022년04월_여_거주자_30~39세","2022년04월_여_거주자_40~49세","2022년04월_여_거주자_50~59세","2022년04월_여_거주자_60~69세","2022년05월_거주자_총인구수","2022년05월_거주자_연령구간인구수","2022년05월_거주자_0~9세","2022년05월_거주자_10~19세","2022년05월_거주자_20~29세","2022년05월_거주자_30~39세","2022년05월_거주자_40~49세","2022년05월_거주자_50~59세","2022년05월_거주자_60~69세","2022년05월_남_거주자_총인구수","2022년05월_남_거주자_연령구간인구수","2022년05월_남_거주자_0~9세","2022년05월_남_거주자_10~19세","2022년05월_남_거주자_20~29세","2022년05월_남_거주자_30~39세","2022년05월_남_거주자_40~49세","2022년05월_남_거주자_50~59세","2022년05월_남_거주자_60~69세","2022년05월_여_거주자_총인구수","2022년05월_여_거주자_연령구간인구수","2022년05월_여_거주자_0~9세","2022년05월_여_거주자_10~19세","2022년05월_여_거주자_20~29세","2022년05월_여_거주자_30~39세","2022년05월_여_거주자_40~49세","2022년05월_여_거주자_50~59세","2022년05월_여_거주자_60~69세","2022년06월_거주자_총인구수","2022년06월_거주자_연령구간인구수","2022년06월_거주자_0~9세","2022년06월_거주자_10~19세","2022년06월_거주자_20~29세","2022년06월_거주자_30~39세","2022년06월_거주자_40~49세","2022년06월_거주자_50~59세","2022년06월_거주자_60~69세","2022년06월_남_거주자_총인구수","2022년06월_남_거주자_연령구간인구수","2022년06월_남_거주자_0~9세","2022년06월_남_거주자_10~19세","2022년06월_남_거주자_20~29세","2022년06월_남_거주자_30~39세","2022년06월_남_거주자_40~49세","2022년06월_남_거주자_50~59세","2022년06월_남_거주자_60~69세","2022년06월_여_거주자_총인구수","2022년06월_여_거주자_연령구간인구수","2022년06월_여_거주자_0~9세","2022년06월_여_거주자_10~19세","2022년06월_여_거주자_20~29세","2022년06월_여_거주자_30~39세","2022년06월_여_거주자_40~49세","2022년06월_여_거주자_50~59세","2022년06월_여_거주자_60~69세"
"경기도 김포시 (4157000000)","484,477","444,541","53,263","50,053","52,041","74,358","92,185","68,796","53,845","242,302","224,965","27,130","25,494","26,745","36,489","47,778","35,108","26,221","242,175","219,576","26,133","24,559","25,296","37,869","44,407","33,688","27,624","484,156","443,946","52,878","50,075","51,782","73,740","92,411","68,840","54,220","242,110","224,662","26,973","25,496","26,556","36,193","47,899","35,116","26,429","242,046","219,284","25,905","24,579","25,226","37,547","44,512","33,724","27,791","483,698","443,198","52,478","50,156","51,519","73,290","92,434","69,054","54,267","241,867","224,281","26,770","25,523","26,446","35,952","47,901","35,211","26,478","241,831","218,917","25,708","24,633","25,073","37,338","44,533","33,843","27,789","483,422","442,770","52,190","50,307","51,382","72,862","92,564","69,224","54,241","241,745","224,073","26,638","25,613","26,364","35,739","47,963","35,281","26,475","241,677","218,697","25,552","24,694","25,018","37,123","44,601","33,943","27,766","483,274","442,313","51,868","50,505","51,183","72,470","92,635","69,455","54,197","241,685","223,872","26,499","25,690","26,275","35,501","47,975","35,442","26,490","241,589","218,441","25,369","24,815","24,908","36,969","44,660","34,013","27,707","483,201","441,972","51,515","50,691","51,045","72,058","92,740","69,618","54,305","241,585","223,659","26,323","25,782","26,214","35,241","48,014","35,519","26,566","241,616","218,313","25,192","24,909","24,831","36,817","44,726","34,099","27,739"
"경기도 김포시 통진읍(4157025000)","28,906","25,298","1,725","2,354","3,518","3,152","4,236","5,446","4,867","15,436","13,931","874","1,275","2,100","1,775","2,370","2,966","2,571","13,470","11,367","851","1,079","1,418","1,377","1,866","2,480","2,296","28,936","25,309","1,717","2,350","3,502","3,135","4,242","5,447","4,916","15,449","13,939","871","1,273","2,081","1,774","2,371","2,968","2,601","13,487","11,370","846","1,077","1,421","1,361","1,871","2,479","2,315","28,923","25,264","1,715","2,332","3,492","3,115","4,240","5,447","4,923","15,425","13,901","860","1,256","2,079","1,760","2,375","2,964","2,607","13,498","11,363","855","1,076","1,413","1,355","1,865","2,483","2,316","28,946","25,275","1,719","2,341","3,465","3,099","4,239","5,480","4,932","15,433","13,905","862","1,268","2,062","1,750","2,377","2,977","2,609","13,513","11,370","857","1,073","1,403","1,349","1,862","2,503","2,323","28,990","25,296","1,714","2,346","3,448","3,120","4,223","5,498","4,947","15,452","13,921","863","1,266","2,057","1,761","2,359","2,989","2,626","13,538","11,375","851","1,080","1,391","1,359","1,864","2,509","2,321","29,092","25,382","1,704","2,355","3,446","3,125","4,236","5,531","4,985","15,515","13,972","859","1,269","2,060","1,756","2,365","3,017","2,646","13,577","11,410","845","1,086","1,386","1,369","1,871","2,514","2,339"
"경기도 김포시 고촌읍(4157025300)","47,998","44,728","6,378","4,737","4,295","8,366","9,547","6,060","5,345","23,924","22,406","3,326","2,453","2,136","3,981","4,919","3,037","2,554","24,074","22,322","3,052","2,284","2,159","4,385","4,628","3,023","2,791","48,112","44,819","6,372","4,799","4,262","8,308","9,635","6,082","5,361","23,990","22,458","3,319","2,489","2,132","3,940","4,966","3,050","2,562","24,122","22,361","3,053","2,310","2,130","4,368","4,669","3,032","2,799","47,998","44,672","6,329","4,830","4,200","8,226","9,640","6,071","5,376","23,923","22,372","3,294","2,504","2,101","3,893","4,963","3,054","2,563","24,075","22,300","3,035","2,326","2,099","4,333","4,677","3,017","2,813","47,979","44,648","6,292","4,867","4,190","8,140","9,716","6,073","5,370","23,902","22,346","3,279","2,517","2,086","3,839","5,007","3,052","2,566","24,077","22,302","3,013","2,350","2,104","4,301","4,709","3,021","2,804","47,920","44,548","6,292","4,883","4,166","8,069","9,735","6,062","5,341","23,860","22,283","3,276","2,523","2,072","3,804","5,020","3,041","2,547","24,060","22,265","3,016","2,360","2,094","4,265","4,715","3,021","2,794","47,890","44,502","6,260","4,904","4,145","8,010","9,762","6,090","5,331","23,824","22,240","3,255","2,533","2,054","3,765","5,031","3,062","2,540","24,066","22,262","3,005","2,371","2,091","4,245","4,731","3,028","2,791"
"경기도 김포시 양촌읍(4157025600)","29,049","25,729","2,215","2,527","2,851","3,846","4,824","4,931","4,535","15,282","13,855","1,124","1,307","1,585","2,111","2,715","2,679","2,334","13,767","11,874","1,091","1,220","1,266","1,735","2,109","2,252","2,201","29,101","25,757","2,183","2,530","2,861","3,840","4,831","4,933","4,579","15,309","13,871","1,113","1,303","1,585","2,103","2,717","2,687","2,363","13,792","11,886","1,070","1,227","1,276","1,737","2,114","2,246","2,216","29,117","25,748","2,166","2,540","2,859","3,830","4,833","4,939","4,581","15,320","13,869","1,112","1,307","1,575","2,100","2,715","2,688","2,372","13,797","11,879","1,054","1,233","1,284","1,730","2,118","2,251","2,209","29,096","25,710","2,163","2,534","2,875","3,795","4,822","4,945","4,576","15,306","13,850","1,107","1,309","1,581","2,079","2,713","2,695","2,366","13,790","11,860","1,056","1,225","1,294","1,716","2,109","2,250","2,210","29,108","25,696","2,135","2,561","2,862","3,785","4,843","4,937","4,573","15,314","13,845","1,091","1,330","1,577","2,068","2,727","2,683","2,369","13,794","11,851","1,044","1,231","1,285","1,717","2,116","2,254","2,204","29,359","25,911","2,128","2,575","2,923","3,886","4,855","4,931","4,613","15,424","13,941","1,090","1,340","1,601","2,109","2,737","2,682","2,382","13,935","11,970","1,038","1,235","1,322","1,777","2,118","2,249","2,231"
"경기도 김포시 대곶면(4157034000)","9,835","8,137","305","523","886","874","1,217","2,148","2,184","5,753","4,975","162","289","556","554","764","1,374","1,276","4,082","3,162","143","234","330","320","453","774","908","9,831","8,120","303","519","875","867","1,223","2,121","2,212","5,745","4,964","163","287","549","553","762","1,352","1,298","4,086","3,156","140","232","326","314","461","769","914","9,854","8,126","306","513","870","867","1,225","2,129","2,216","5,757","4,965","162","286","550","550","769","1,351","1,297","4,097","3,161","144","227","320","317","456","778","919","9,894","8,158","312","515","868","886","1,232","2,128","2,217","5,787","4,986","163","287","550","561","777","1,348","1,300","4,107","3,172","149","228","318","325","455","780","917","9,896","8,156","312","516","865","886","1,236","2,133","2,208","5,793","4,991","165","289","547","560","779","1,354","1,297","4,103","3,165","147","227","318","326","457","779","911","9,890","8,138","310","513","864","870","1,246","2,132","2,203","5,778","4,970","165","284","546","545","786","1,345","1,299","4,112","3,168","145","229","318","325","460","787","904"
"경기도 김포시 월곶면(4157035000)","5,407","4,265","125","233","481","410","573","1,091","1,352","2,973","2,443","57","102","300","242","359","634","749","2,434","1,822","68","131","181","168","214","457","603","5,401","4,255","125","230","474","413","571","1,076","1,366","2,965","2,437","55","103","292","247","359","623","758","2,436","1,818","70","127","182","166","212","453","608","5,402","4,242","123","230","465","415","569","1,076","1,364","2,970","2,429","56","106","285","249","354","623","756","2,432","1,813","67","124","180","166","215","453","608","5,389","4,225","120","234","461","416","566","1,074","1,354","2,967","2,419","54","110","282","249","353","620","751","2,422","1,806","66","124","179","167","213","454","603","5,400","4,234","120","234","459","416","562","1,082","1,361","2,981","2,432","54","110","282","249","351","630","756","2,419","1,802","66","124","177","167","211","452","605","5,394","4,223","120","233","455","410","565","1,077","1,363","2,982","2,428","54","108","280","246","352","630","758","2,412","1,795","66","125","175","164","213","447","605"
"경기도 김포시 하성면(4157036000)","8,123","6,445","246","430","754","690","847","1,608","1,870","4,415","3,691","120","245","469","398","525","916","1,018","3,708","2,754","126","185","285","292","322","692","852","8,142","6,453","253","435","751","694","855","1,594","1,871","4,424","3,693","120","249","469","400","528","905","1,022","3,718","2,760","133","186","282","294","327","689","849","8,160","6,462","251","437","742","693","852","1,604","1,883","4,425","3,697","117","251","465","396","528","907","1,033","3,735","2,765","134","186","277","297","324","697","850","8,134","6,443","255","428","740","692","844","1,590","1,894","4,410","3,686","119","249","462","399","522","899","1,036","3,724","2,757","136","179","278","293","322","691","858","8,145","6,443","254","424","737","688","842","1,601","1,897","4,420","3,686","118","248","458","398","519","907","1,038","3,725","2,757","136","176","279","290","323","694","859","8,113","6,401","254","422","725","670","847","1,584","1,899","4,398","3,661","118","248","452","389","514","896","1,044","3,715","2,740","136","174","273","281","333","688","855"
"경기도 김포시 김포본동(4157051500)","60,663","55,458","5,760","6,299","7,531","8,008","10,537","10,252","7,071","29,803","27,632","2,885","3,202","3,978","3,893","5,169","5,008","3,497","30,860","27,826","2,875","3,097","3,553","4,115","5,368","5,244","3,574","60,469","55,230","5,719","6,251","7,455","7,924","10,510","10,228","7,143","29,694","27,512","2,864","3,179","3,926","3,846","5,175","4,987","3,535","30,775","27,718","2,855","3,072","3,529","4,078","5,335","5,241","3,608","60,348","55,068","5,658","6,234","7,428","7,872","10,459","10,264","7,153","29,631","27,427","2,839","3,158","3,920","3,815","5,152","4,996","3,547","30,717","27,641","2,819","3,076","3,508","4,057","5,307","5,268","3,606","60,245","54,956","5,617","6,218","7,421","7,827","10,425","10,276","7,172","29,599","27,388","2,825","3,152","3,924","3,807","5,138","4,984","3,558","30,646","27,568","2,792","3,066","3,497","4,020","5,287","5,292","3,614","60,098","54,772","5,561","6,218","7,399","7,762","10,382","10,302","7,148","29,509","27,267","2,798","3,144","3,903","3,761","5,123","4,998","3,540","30,589","27,505","2,763","3,074","3,496","4,001","5,259","5,304","3,608","59,999","54,628","5,511","6,224","7,370","7,699","10,352","10,306","7,166","29,465","27,197","2,780","3,142","3,890","3,733","5,098","5,005","3,549","30,534","27,431","2,731","3,082","3,480","3,966","5,254","5,301","3,617"
"경기도 김포시 장기본동(4157052500)","38,691","36,099","4,474","5,633","3,919","5,153","8,346","5,235","3,339","18,837","17,695","2,233","2,862","1,961","2,389","4,098","2,639","1,513","19,854","18,404","2,241","2,771","1,958","2,764","4,248","2,596","1,826","38,592","35,976","4,434","5,630","3,885","5,102","8,358","5,228","3,339","18,803","17,656","2,224","2,866","1,939","2,364","4,110","2,635","1,518","19,789","18,320","2,210","2,764","1,946","2,738","4,248","2,593","1,821","38,472","35,841","4,368","5,608","3,876","5,040","8,342","5,264","3,343","18,754","17,600","2,187","2,857","1,947","2,339","4,092","2,654","1,524","19,718","18,241","2,181","2,751","1,929","2,701","4,250","2,610","1,819","38,433","35,774","4,332","5,618","3,858","5,011","8,349","5,268","3,338","18,757","17,588","2,181","2,863","1,936","2,329","4,097","2,660","1,522","19,676","18,186","2,151","2,755","1,922","2,682","4,252","2,608","1,816","38,429","35,741","4,308","5,613","3,870","4,961","8,338","5,305","3,346","18,756","17,573","2,180","2,851","1,948","2,307","4,081","2,677","1,529","19,673","18,168","2,128","2,762","1,922","2,654","4,257","2,628","1,817","38,384","35,687","4,272","5,625","3,861","4,911","8,351","5,321","3,346","18,741","17,552","2,161","2,859","1,948","2,271","4,098","2,677","1,538","19,643","18,135","2,111","2,766","1,913","2,640","4,253","2,644","1,808"
"경기도 김포시 사우동(4157054000)","22,464","20,115","1,470","2,014","3,044","2,783","3,654","4,147","3,003","11,272","10,295","789","1,041","1,632","1,461","1,853","2,052","1,467","11,192","9,820","681","973","1,412","1,322","1,801","2,095","1,536","22,410","20,052","1,441","2,000","3,044","2,771","3,632","4,130","3,034","11,245","10,259","777","1,038","1,626","1,455","1,836","2,041","1,486","11,165","9,793","664","962","1,418","1,316","1,796","2,089","1,548","22,352","19,980","1,438","2,003","3,013","2,771","3,615","4,120","3,020","11,212","10,222","771","1,042","1,604","1,455","1,835","2,033","1,482","11,140","9,758","667","961","1,409","1,316","1,780","2,087","1,538","22,327","19,955","1,429","2,014","2,982","2,785","3,607","4,122","3,016","11,199","10,211","769","1,048","1,581","1,469","1,830","2,031","1,483","11,128","9,744","660","966","1,401","1,316","1,777","2,091","1,533","22,291","19,903","1,417","2,024","2,958","2,778","3,600","4,103","3,023","11,177","10,185","763","1,049","1,567","1,461","1,822","2,033","1,490","11,114","9,718","654","975","1,391","1,317","1,778","2,070","1,533","22,236","19,841","1,409","2,019","2,925","2,773","3,584","4,100","3,031","11,153","10,158","754","1,049","1,551","1,461","1,821","2,022","1,500","11,083","9,683","655","970","1,374","1,312","1,763","2,078","1,531"
