year,month,location,address,pop_men<10s,pop_men10s,pop_men20s,pop_men30s,pop_men40s,pop_men50s,pop_men60s,pop_men>70s,pop_women<10s,pop_women10s,pop_women20s,pop_women30s,pop_women40s,pop_women50s,pop_women60s,pop_women>70s
2019,1,북한산,서울 강북구 삼양로 181길 387 (우이령 전경대 위),794.4888583,437.9833558,809.6333801,770.4861037,899.0332385,851.6552734,797.3604509,1481.038718,732.0702926,402.6557012,981.7042315,778.1785288,888.318072,989.7115318,1032.929955,2411.357303
2019,1,서대문구,서울 서대문구 세검정로4길 32 (홍제3동 주민센터) ,837.9493809,410.0247115,1058.830419,916.6602795,991.1767747,861.0024136,750.4428023,1253.254905,819.6825099,406.3440855,1544.77731,1054.109084,966.282479,946.6070459,924.5534908,2038.453027
2019,1,서초구,서울 서초구 신반포로15길 16 반포 2동 주민센터,926.6161369,527.5332651,856.4043586,1037.302014,1205.927117,988.9334616,776.5741118,1258.342268,1009.660905,576.0992014,913.6587256,1123.368663,1192.077696,943.8392927,957.0848002,1899.119346
2019,1,성동구,서울 성동구 뚝섬로3길 18 성수1가1동주민센터,715.9811681,307.9951886,939.6793285,887.3765636,800.3747157,683.9423731,600.6612696,837.3243954,639.901374,285.1107486,1028.09298,940.7402611,730.5379554,690.3040169,741.7904019,1422.251462
2019,1,성북구,서울 성북구 삼양로2길 70 길음2동 주민센터,911.3167324,510.769396,860.2558618,681.3937403,823.8230658,752.8082803,688.2607189,1117.634824,819.0125608,448.3550466,1081.129486,752.3538745,866.1845861,833.8084527,849.2934882,1905.059914
2019,1,세곡,서울 강남구 밤고개로 337 (세곡사거리),927.0479743,602.9446955,921.7552315,1214.62868,1347.416389,1085.880496,798.8535318,1243.606349,904.5281289,570.9527232,1067.528055,1294.366411,1278.060354,993.7924985,998.258234,1822.240094
2019,1,송파구,서울 송파구 백제고분로 236 삼전동 주민센터 (삼전동),1114.09669,579.1665769,814.5149318,1064.819211,1146.576221,981.7389854,879.8960197,1161.204206,1129.340402,590.8096225,873.261494,1187.65915,1126.422754,1066.984462,1123.57058,1792.447691
2019,1,시흥대로,서울 금천구 독산동 996-9 한양수자인아파트 앞,606.7012271,293.6032406,580.4494503,824.6460426,774.683899,749.8714845,707.8746926,922.8836213,612.5769103,304.5491881,593.6741868,771.4528442,693.2731816,790.5609413,837.7336416,1389.36379
2019,1,신촌로,서울 마포구 노고산동 57-62 (신촌역 7번 출구),864.2507339,487.8311776,1177.814615,1182.492923,1188.487616,874.451055,690.4706458,1073.838645,867.3184567,488.1769774,1511.70219,1345.578468,1211.299964,913.5320687,851.0555071,1825.948582
2019,1,양천구,서울 양천구 중앙로52길 56 신정4동 문화센터,955.0824468,626.6976579,680.9995453,712.2556995,910.0027912,867.7634975,716.3708932,952.883614,900.7117876,586.1291776,699.8811384,786.0401941,961.530305,936.9101265,864.0656056,1562.807804
2019,1,영등포구,서울 영등포구 당산로 123 영등포구청 (당산동3가),738.7270613,331.7736513,800.3980211,1213.593038,998.4003575,854.3347104,748.2905541,1112.261519,739.1383151,312.3144344,931.1544328,1140.294906,871.479381,827.4250437,869.5239968,1669.178167
2019,1,영등포로,서울 영등포구 영중로 37 (영등포시장사거리),738.7270613,331.7736513,800.3980211,1213.593038,998.4003575,854.3347104,748.2905541,1112.261519,739.1383151,312.3144344,931.1544328,1140.294906,871.479381,827.4250437,869.5239968,1669.178167
