year,month,location,address,a_d_classification,car_sedan,car_van,car_twowheels,car_special,car_truck
2019,2,강서구,서울 강서구 강서로 45 다길 71 화곡3동 푸른들청소년도서관,11160,173856,7829,18553,412,21706
2019,2,공항대로,서울 강서구 마곡동 727-1091 마곡역 중앙차로정류장 옆,11160,173856,7829,18553,412,21706
2019,2,관악구,서울 관악구 신림동길 14 신림동 주민센터,11210,103541,4853,24407,260,12660
2019,2,관악산,과천시 자하동길 64 (관악산 중계소),31110,0,0,0,0,0
2019,2,광진구,서울 광진구 광나루로 571 구의 아리수정수센터,11050,83952,3869,18246,285,12560
2019,2,구로구,서울 구로구 가마산로 27길 45 구로고등학교,11170,120310,6385,15821,355,17634
2019,2,금천구,서울 금천구 금하로21길 20 시흥5동 주민센터,11180,69338,4471,11475,160,13516
2019,2,남산,서울 용산구 남산공원길 103 (서울타워 별관 2층),11030,67532,2576,15990,135,7093
2019,2,노원구,서울 노원구 상계로 118 상계2동 주민센터 (23길 17 노원구 원터행복발전소),11110,134030,5808,14863,341,13534
2019,2,도봉구,서울 도봉구 시루봉로2길 34 쌍문동청소년문화의집,11100,82143,3920,14666,230,11092
2019,2,도산대로,서울 강남구 도산대로 104 신사역2번출구 앞,11230,211680,6327,16749,399,16434
2019,2,동대문구,서울 동대문구 천호대로13길 43 용두초등학교,11060,81221,3883,23629,164,13126
2019,2,동작구,서울 동작구 사당로16아길 6 사당4동 주민센터,11200,93618,3432,14983,383,8954
2019,2,동작대로,서울 동작구 사당2동 739 이수역 북단 버스중앙차로,11200,93618,3432,14983,383,8954
2019,2,마포구,서울 마포구 포은로 6길 10 망원1동주민센터 옥상,11140,101168,4389,17005,241,12198
2019,2,북한산,서울 강북구 삼양로 181길 387 (우이령 전경대 위),11090,63802,4014,21735,161,9373
2019,2,서대문구,서울 서대문구 세검정로4길 32 (홍제3동 주민센터) ,11130,75056,3439,14858,317,8686
2019,2,서초구,서울 서초구 신반포로15길 16 반포 2동 주민센터,11220,159626,5151,12971,349,17126
2019,2,성동구,서울 성동구 뚝섬로3길 18 성수1가1동주민센터,11040,89881,4015,20463,177,11150
2019,2,성북구,서울 성북구 삼양로2길 70 길음2동 주민센터,11080,100145,5286,26204,156,11044
2019,2,세곡,서울 강남구 밤고개로 337 (세곡사거리),11230,211680,6327,16749,399,16434
2019,2,송파구,서울 송파구 백제고분로 236 삼전동 주민센터 (삼전동),11240,204834,7301,19598,404,26881
2019,2,시흥대로,서울 금천구 독산동 996-9 한양수자인아파트 앞,11180,69338,4471,11475,160,13516
2019,2,신촌로,서울 마포구 노고산동 57-62 (신촌역 7번 출구),11140,101168,4389,17005,241,12198
2019,2,양천구,서울 양천구 중앙로52길 56 신정4동 문화센터,11150,129121,5227,18560,553,15666
2019,2,영등포구,서울 영등포구 당산로 123 영등포구청 (당산동3가),11190,116949,5419,16333,1166,19659
2019,2,영등포로,서울 영등포구 영중로 37 (영등포시장사거리),11190,116949,5419,16333,1166,19659
2019,2,용산구,서울 용산구 이태원로 224-19 (한남동) 한남로 복합문화센터,11030,67532,2576,15990,135,7093
2019,2,은평구,서울 은평구 진흥로 215 (한국환경산업기술원 온실동2층 ),11120,111249,5389,20843,264,13442
2019,2,정릉로,서울 성북구 돈암동 8-164번지 ,11080,100145,5286,26204,156,11044
2019,2,종로,서울 종로구 종로 169 (종묘주차장 앞),11010,41171,3909,13097,184,5413
2019,2,종로구,"서울 종로구 종로35가길 19 종로5,6가 동 주민센터",11010,41171,3909,13097,184,5413
2019,2,중구,서울 중구 덕수궁길 15 시청서소문별관 3동,11020,41109,3361,14617,221,7234
2019,2,중랑구,서울 중랑구 용마산로 369 건강가정지원센터,11070,93216,4932,24149,416,15590
2019,2,천호대로,서울 강동구 천호대로 1151 길동사거리 강동성모요양병원 앞),11250,115088,4810,16276,292,15535
2019,2,청계천로,서울 중구 청계천로 184 (청계천4가사거리 남강빌딩 앞),11020,41109,3361,14617,221,7234
2019,2,한강대로,서울 용산구 한강대로 405 (서울역 앞),11030,67532,2576,15990,135,7093
2019,2,행주,김포시 고촌읍 은행영사정로 197 (신곡수중보 관리사무소),31230,NA,NA,NA,NA,NA
2019,2,홍릉로,서울 동대문구 홍릉로 1 (청량리전철역 사거리 SC제일은행 앞),11060,81221,3883,23629,164,13126
2019,2,화랑로,서울 노원구 화랑로 429 태능입구역 8번 출구,11110,134030,5808,14863,341,13534
2019,3,강남구,서울 강남구 학동로 426 강남구청 별관 1동,11230,211513,6281,16772,404,16428
2019,3,강남대로,서울 서초구 강남대로 201 서초구민회관 앞 중앙차로 (양재동),11220,159626,5135,12879,344,17066
2019,3,강동구,서울 강동구 구천면로 42길 59 천호1동 주민센터,11250,114802,4778,16283,293,15462
2019,3,강변북로,서울 성동구 강변북로 257 한강사업본부 옆,11040,89425,4391,20470,177,11140
2019,3,강북구,서울 강북구 삼양로 139길 49 우이동 주민센터,11090,63640,3976,21699,158,9331
2019,3,강서구,서울 강서구 강서로 45 다길 71 화곡3동 푸른들청소년도서관,11160,173842,7783,18570,421,21691
2019,3,공항대로,서울 강서구 마곡동 727-1091 마곡역 중앙차로정류장 옆,11160,173842,7783,18570,421,21691
2019,3,관악구,서울 관악구 신림동길 14 신림동 주민센터,11210,103292,4792,24361,260,12624
2019,3,관악산,과천시 자하동길 64 (관악산 중계소),31110,0,0,0,0,0
2019,3,광진구,서울 광진구 광나루로 571 구의 아리수정수센터,11050,83757,3458,18238,283,12504
2019,3,구로구,서울 구로구 가마산로 27길 45 구로고등학교,11170,120316,6354,15848,358,17704
2019,3,금천구,서울 금천구 금하로21길 20 시흥5동 주민센터,11180,69262,4430,11480,158,13486
2019,3,남산,서울 용산구 남산공원길 103 (서울타워 별관 2층),11030,67567,2542,16019,135,7073
2019,3,노원구,서울 노원구 상계로 118 상계2동 주민센터 (23길 17 노원구 원터행복발전소),11110,133918,5771,14866,351,13550
2019,3,도봉구,서울 도봉구 시루봉로2길 34 쌍문동청소년문화의집,11100,82064,3884,14690,231,11060
2019,3,도산대로,서울 강남구 도산대로 104 신사역2번출구 앞,11230,211513,6281,16772,404,16428
2019,3,동대문구,서울 동대문구 천호대로13길 43 용두초등학교,11060,81064,3855,23608,171,13113
2019,3,동작구,서울 동작구 사당로16아길 6 사당4동 주민센터,11200,93597,3416,15046,380,8919
2019,3,동작대로,서울 동작구 사당2동 739 이수역 북단 버스중앙차로,11200,93597,3416,15046,380,8919
2019,3,마포구,서울 마포구 포은로 6길 10 망원1동주민센터 옥상,11140,101068,4325,17016,244,12162
2019,3,북한산,서울 강북구 삼양로 181길 387 (우이령 전경대 위),11090,63640,3976,21699,158,9331
2019,3,서대문구,서울 서대문구 세검정로4길 32 (홍제3동 주민센터) ,11130,75126,3416,14891,317,8679
2019,3,서초구,서울 서초구 신반포로15길 16 반포 2동 주민센터,11220,159626,5135,12879,344,17066
2019,3,성동구,서울 성동구 뚝섬로3길 18 성수1가1동주민센터,11040,89425,4391,20470,177,11140
2019,3,성북구,서울 성북구 삼양로2길 70 길음2동 주민센터,11080,100888,5248,26244,159,11098
2019,3,세곡,서울 강남구 밤고개로 337 (세곡사거리),11230,211513,6281,16772,404,16428
2019,3,송파구,서울 송파구 백제고분로 236 삼전동 주민센터 (삼전동),11240,206038,7266,19760,404,26850
2019,3,시흥대로,서울 금천구 독산동 996-9 한양수자인아파트 앞,11180,69262,4430,11480,158,13486
2019,3,신촌로,서울 마포구 노고산동 57-62 (신촌역 7번 출구),11140,101068,4325,17016,244,12162
2019,3,양천구,서울 양천구 중앙로52길 56 신정4동 문화센터,11150,128981,5202,18567,553,15649
2019,3,영등포구,서울 영등포구 당산로 123 영등포구청 (당산동3가),11190,117011,5357,16268,1163,19618
2019,3,영등포로,서울 영등포구 영중로 37 (영등포시장사거리),11190,117011,5357,16268,1163,19618
2019,3,용산구,서울 용산구 이태원로 224-19 (한남동) 한남로 복합문화센터,11030,67567,2542,16019,135,7073
2019,3,은평구,서울 은평구 진흥로 215 (한국환경산업기술원 온실동2층 ),11120,111463,5344,20883,263,13405
2019,3,정릉로,서울 성북구 돈암동 8-164번지 ,11080,100888,5248,26244,159,11098
2019,3,종로,서울 종로구 종로 169 (종묘주차장 앞),11010,40992,3878,13100,183,5279
2019,3,종로구,"서울 종로구 종로35가길 19 종로5,6가 동 주민센터",11010,40992,3878,13100,183,5279
2019,3,중구,서울 중구 덕수궁길 15 시청서소문별관 3동,11020,40996,3348,14609,219,7213
2019,3,중랑구,서울 중랑구 용마산로 369 건강가정지원센터,11070,93182,4878,24121,413,15552
2019,3,천호대로,서울 강동구 천호대로 1151 길동사거리 강동성모요양병원 앞),11250,114802,4778,16283,293,15462
2019,3,청계천로,서울 중구 청계천로 184 (청계천4가사거리 남강빌딩 앞),11020,40996,3348,14609,219,7213
2019,3,한강대로,서울 용산구 한강대로 405 (서울역 앞),11030,67567,2542,16019,135,7073
2019,3,행주,김포시 고촌읍 은행영사정로 197 (신곡수중보 관리사무소),31230,NA,NA,NA,NA,NA
2019,3,홍릉로,서울 동대문구 홍릉로 1 (청량리전철역 사거리 SC제일은행 앞),11060,81064,3855,23608,171,13113
2019,3,화랑로,서울 노원구 화랑로 429 태능입구역 8번 출구,11110,133918,5771,14866,351,13550
2019,4,강남구,서울 강남구 학동로 426 강남구청 별관 1동,11230,211376,6201,16772,400,16349
2019,4,강남대로,서울 서초구 강남대로 201 서초구민회관 앞 중앙차로 (양재동),11220,159708,5089,12750,348,17027
2019,4,강동구,서울 강동구 구천면로 42길 59 천호1동 주민센터,11250,114561,4739,16335,295,15423
2019,4,강변북로,서울 성동구 강변북로 257 한강사업본부 옆,11040,89505,4600,20443,180,11136
2019,4,강북구,서울 강북구 삼양로 139길 49 우이동 주민센터,11090,63461,3943,21736,160,9285
2019,4,강서구,서울 강서구 강서로 45 다길 71 화곡3동 푸른들청소년도서관,11160,173698,7709,18637,422,21608
2019,4,공항대로,서울 강서구 마곡동 727-1091 마곡역 중앙차로정류장 옆,11160,173698,7709,18637,422,21608
2019,4,관악구,서울 관악구 신림동길 14 신림동 주민센터,11210,103197,4745,24366,260,12595
2019,4,관악산,과천시 자하동길 64 (관악산 중계소),31110,0,0,0,0,0
2019,4,광진구,서울 광진구 광나루로 571 구의 아리수정수센터,11050,83567,3441,18223,285,12467
2019,4,구로구,서울 구로구 가마산로 27길 45 구로고등학교,11170,120063,6321,15875,364,17653
2019,4,금천구,서울 금천구 금하로21길 20 시흥5동 주민센터,11180,69394,4396,11487,159,13498
2019,4,남산,서울 용산구 남산공원길 103 (서울타워 별관 2층),11030,67443,2521,16058,134,7042
2019,4,노원구,서울 노원구 상계로 118 상계2동 주민센터 (23길 17 노원구 원터행복발전소),11110,133610,5686,14852,349,13452
2019,4,도봉구,서울 도봉구 시루봉로2길 34 쌍문동청소년문화의집,11100,82006,3860,14695,230,10998
2019,4,도산대로,서울 강남구 도산대로 104 신사역2번출구 앞,11230,211376,6201,16772,400,16349
2019,4,동대문구,서울 동대문구 천호대로13길 43 용두초등학교,11060,81016,3821,23629,172,13025
2019,4,동작구,서울 동작구 사당로16아길 6 사당4동 주민센터,11200,93624,3367,15075,381,8882
2019,4,동작대로,서울 동작구 사당2동 739 이수역 북단 버스중앙차로,11200,93624,3367,15075,381,8882
2019,4,마포구,서울 마포구 포은로 6길 10 망원1동주민센터 옥상,11140,100997,4287,17062,245,12136
2019,4,북한산,서울 강북구 삼양로 181길 387 (우이령 전경대 위),11090,63461,3943,21736,160,9285
2019,4,서대문구,서울 서대문구 세검정로4길 32 (홍제3동 주민센터) ,11130,75273,3406,14919,315,8627
2019,4,서초구,서울 서초구 신반포로15길 16 반포 2동 주민센터,11220,159708,5089,12750,348,17027
2019,4,성동구,서울 성동구 뚝섬로3길 18 성수1가1동주민센터,11040,89505,4600,20443,180,11136
2019,4,성북구,서울 성북구 삼양로2길 70 길음2동 주민센터,11080,101303,5206,26295,166,11092
2019,4,세곡,서울 강남구 밤고개로 337 (세곡사거리),11230,211376,6201,16772,400,16349
2019,4,송파구,서울 송파구 백제고분로 236 삼전동 주민센터 (삼전동),11240,206538,7247,19953,410,26773
2019,4,시흥대로,서울 금천구 독산동 996-9 한양수자인아파트 앞,11180,69394,4396,11487,159,13498
2019,4,신촌로,서울 마포구 노고산동 57-62 (신촌역 7번 출구),11140,100997,4287,17062,245,12136
2019,4,양천구,서울 양천구 중앙로52길 56 신정4동 문화센터,11150,128997,5167,18631,556,15609
2019,4,영등포구,서울 영등포구 당산로 123 영등포구청 (당산동3가),11190,116679,5306,16336,1178,19570
2019,4,영등포로,서울 영등포구 영중로 37 (영등포시장사거리),11190,116679,5306,16336,1178,19570
2019,4,용산구,서울 용산구 이태원로 224-19 (한남동) 한남로 복합문화센터,11030,67443,2521,16058,134,7042
2019,4,은평구,서울 은평구 진흥로 215 (한국환경산업기술원 온실동2층 ),11120,111583,5270,20943,264,13369
2019,4,정릉로,서울 성북구 돈암동 8-164번지 ,11080,101303,5206,26295,166,11092
2019,4,종로,서울 종로구 종로 169 (종묘주차장 앞),11010,40882,3855,13112,184,5265
2019,4,종로구,"서울 종로구 종로35가길 19 종로5,6가 동 주민센터",11010,40882,3855,13112,184,5265
2019,4,중구,서울 중구 덕수궁길 15 시청서소문별관 3동,11020,40985,3322,14642,221,7175
2019,4,중랑구,서울 중랑구 용마산로 369 건강가정지원센터,11070,92912,4817,24168,411,15444
2019,4,천호대로,서울 강동구 천호대로 1151 길동사거리 강동성모요양병원 앞),11250,114561,4739,16335,295,15423
2019,4,청계천로,서울 중구 청계천로 184 (청계천4가사거리 남강빌딩 앞),11020,40985,3322,14642,221,7175
2019,4,한강대로,서울 용산구 한강대로 405 (서울역 앞),11030,67443,2521,16058,134,7042
2019,4,행주,김포시 고촌읍 은행영사정로 197 (신곡수중보 관리사무소),31230,NA,NA,NA,NA,NA
2019,4,홍릉로,서울 동대문구 홍릉로 1 (청량리전철역 사거리 SC제일은행 앞),11060,81016,3821,23629,172,13025
2019,4,화랑로,서울 노원구 화랑로 429 태능입구역 8번 출구,11110,133610,5686,14852,349,13452
2019,5,강남구,서울 강남구 학동로 426 강남구청 별관 1동,11230,211447,6079,16872,401,16286
2019,5,강남대로,서울 서초구 강남대로 201 서초구민회관 앞 중앙차로 (양재동),11220,159199,5063,12687,351,16995
2019,5,강동구,서울 강동구 구천면로 42길 59 천호1동 주민센터,11250,114621,4706,16335,292,15411
2019,5,강변북로,서울 성동구 강변북로 257 한강사업본부 옆,11040,89466,4558,20424,181,11143
2019,5,강북구,서울 강북구 삼양로 139길 49 우이동 주민센터,11090,63357,3924,21832,163,9249
2019,5,강서구,서울 강서구 강서로 45 다길 71 화곡3동 푸른들청소년도서관,11160,174134,7646,18680,417,21503
2019,5,공항대로,서울 강서구 마곡동 727-1091 마곡역 중앙차로정류장 옆,11160,174134,7646,18680,417,21503
2019,5,관악구,서울 관악구 신림동길 14 신림동 주민센터,11210,103146,4716,24439,260,12603
2019,5,관악산,과천시 자하동길 64 (관악산 중계소),31110,0,0,0,0,0
2019,5,광진구,서울 광진구 광나루로 571 구의 아리수정수센터,11050,83472,3415,18274,280,12420
2019,5,구로구,서울 구로구 가마산로 27길 45 구로고등학교,11170,119758,6266,15943,365,17563
2019,5,금천구,서울 금천구 금하로21길 20 시흥5동 주민센터,11180,69388,4352,11511,161,13446
2019,5,남산,서울 용산구 남산공원길 103 (서울타워 별관 2층),11030,67411,2499,16043,134,7000
2019,5,노원구,서울 노원구 상계로 118 상계2동 주민센터 (23길 17 노원구 원터행복발전소),11110,133458,5639,14906,344,13434
2019,5,도봉구,서울 도봉구 시루봉로2길 34 쌍문동청소년문화의집,11100,82019,3872,14727,231,10998
2019,5,도산대로,서울 강남구 도산대로 104 신사역2번출구 앞,11230,211447,6079,16872,401,16286
2019,5,동대문구,서울 동대문구 천호대로13길 43 용두초등학교,11060,81011,3804,23667,173,12992
2019,5,동작구,서울 동작구 사당로16아길 6 사당4동 주민센터,11200,93590,3334,15106,380,8856
2019,5,동작대로,서울 동작구 사당2동 739 이수역 북단 버스중앙차로,11200,93590,3334,15106,380,8856
2019,5,마포구,서울 마포구 포은로 6길 10 망원1동주민센터 옥상,11140,100997,4255,17094,247,12157
2019,5,마포아트센터,서울 마포구 대흥로20길 28 (마포아트센터),11140,100997,4255,17094,247,12157
2019,5,북한산,서울 강북구 삼양로 181길 387 (우이령 전경대 위),11090,63357,3924,21832,163,9249
2019,5,서대문구,서울 서대문구 세검정로4길 32 (홍제3동 주민센터) ,11130,75297,3392,14952,311,8577
2019,5,서울숲,서울 성동구 뚝섬로 273 (서울숲 방문자센터 옆),11040,89466,4558,20424,181,11143
2019,5,서초구,서울 서초구 신반포로15길 16 반포 2동 주민센터,11220,159199,5063,12687,351,16995
2019,5,성동구,서울 성동구 뚝섬로3길 18 성수1가1동주민센터,11040,89466,4558,20424,181,11143
2019,5,성북구,서울 성북구 삼양로2길 70 길음2동 주민센터,11080,101470,5176,26379,169,11066
2019,5,세곡,서울 강남구 밤고개로 337 (세곡사거리),11230,211447,6079,16872,401,16286
2019,5,송파구,서울 송파구 백제고분로 236 삼전동 주민센터 (삼전동),11240,206483,7208,20193,411,26688
2019,5,시흥대로,서울 금천구 독산동 996-9 한양수자인아파트 앞,11180,69388,4352,11511,161,13446
2019,5,신촌로,서울 마포구 노고산동 57-62 (신촌역 7번 출구),11140,100997,4255,17094,247,12157
2019,5,양천구,서울 양천구 중앙로52길 56 신정4동 문화센터,11150,128748,5125,18646,560,15537
2019,5,영등포구,서울 영등포구 당산로 123 영등포구청 (당산동3가),11190,116913,5252,16348,1180,19427
2019,5,영등포로,서울 영등포구 영중로 37 (영등포시장사거리),11190,116913,5252,16348,1180,19427
2019,5,올림픽공원,서울 송파구 올림픽로 424 (서울역사편찬원),11240,206483,7208,20193,411,26688
2019,5,용산구,서울 용산구 이태원로 224-19 (한남동) 한남로 복합문화센터,11030,67411,2499,16043,134,7000
2019,5,은평구,서울 은평구 진흥로 215 (한국환경산업기술원 온실동2층 ),11120,111487,5239,20960,264,13336
2019,5,자연사박물관,서울 서대문구 연희로32길 51 (서대문자연사박물관),11130,75297,3392,14952,311,8577
2019,5,정릉로,서울 성북구 돈암동 8-164번지 ,11080,101470,5176,26379,169,11066
2019,5,종로,서울 종로구 종로 169 (종묘주차장 앞),11010,40812,4009,13031,177,5243
2019,5,종로구,"서울 종로구 종로35가길 19 종로5,6가 동 주민센터",11010,40812,4009,13031,177,5243
2019,5,중구,서울 중구 덕수궁길 15 시청서소문별관 3동,11020,41037,3383,14623,220,7160
2019,5,중랑구,서울 중랑구 용마산로 369 건강가정지원센터,11070,92828,4801,24173,415,15368
2019,5,천호대로,서울 강동구 천호대로 1151 길동사거리 강동성모요양병원 앞),11250,114621,4706,16335,292,15411
2019,5,청계천로,서울 중구 청계천로 184 (청계천4가사거리 남강빌딩 앞),11020,41037,3383,14623,220,7160
2019,5,한강대로,서울 용산구 한강대로 405 (서울역 앞),11030,67411,2499,16043,134,7000
2019,5,행주,김포시 고촌읍 은행영사정로 197 (신곡수중보 관리사무소),31230,NA,NA,NA,NA,NA
2019,5,홍릉로,서울 동대문구 홍릉로 1 (청량리전철역 사거리 SC제일은행 앞),11060,81011,3804,23667,173,12992
2019,5,화랑로,서울 노원구 화랑로 429 태능입구역 8번 출구,11110,133458,5639,14906,344,13434
2019,6,강남구,서울 강남구 학동로 426 강남구청 별관 1동,11230,211208,6097,16946,403,16243
2019,6,강남대로,서울 서초구 강남대로 201 서초구민회관 앞 중앙차로 (양재동),11220,159219,5030,12614,357,16977
2019,6,강동구,서울 강동구 구천면로 42길 59 천호1동 주민센터,11250,114639,4660,16387,291,15356
2019,6,강변북로,서울 성동구 강변북로 257 한강사업본부 옆,11040,89639,5155,20446,182,11097
2019,6,강북구,서울 강북구 삼양로 139길 49 우이동 주민센터,11090,63268,3903,21845,160,9228
2019,6,강서구,서울 강서구 강서로 45 다길 71 화곡3동 푸른들청소년도서관,11160,174243,7620,18672,408,21453
2019,6,공항대로,서울 강서구 마곡동 727-1091 마곡역 중앙차로정류장 옆,11160,174243,7620,18672,408,21453
2019,6,관악구,서울 관악구 신림동길 14 신림동 주민센터,11210,103107,4691,24471,263,12550
2019,6,관악산,과천시 자하동길 64 (관악산 중계소),31110,0,0,0,0,0
2019,6,광진구,서울 광진구 광나루로 571 구의 아리수정수센터,11050,83458,3422,18285,279,12380
2019,6,구로구,서울 구로구 가마산로 27길 45 구로고등학교,11170,119739,6241,15960,362,17522
2019,6,금천구,서울 금천구 금하로21길 20 시흥5동 주민센터,11180,69423,4325,11532,165,13436
2019,6,남산,서울 용산구 남산공원길 103 (서울타워 별관 2층),11030,67384,2491,16067,128,6990
2019,6,노원구,서울 노원구 상계로 118 상계2동 주민센터 (23길 17 노원구 원터행복발전소),11110,133317,5602,14909,346,13421
2019,6,도봉구,서울 도봉구 시루봉로2길 34 쌍문동청소년문화의집,11100,81826,3813,14742,233,11001
2019,6,도산대로,서울 강남구 도산대로 104 신사역2번출구 앞,11230,211208,6097,16946,403,16243
2019,6,동대문구,서울 동대문구 천호대로13길 43 용두초등학교,11060,81061,3773,23654,170,12997
2019,6,동작구,서울 동작구 사당로16아길 6 사당4동 주민센터,11200,93539,3298,15122,378,8818
2019,6,동작대로,서울 동작구 사당2동 739 이수역 북단 버스중앙차로,11200,93539,3298,15122,378,8818
2019,6,마포구,서울 마포구 포은로 6길 10 망원1동주민센터 옥상,11140,101062,4218,17150,245,12139
2019,6,마포아트센터,서울 마포구 대흥로20길 28 (마포아트센터),11140,101062,4218,17150,245,12139
2019,6,북한산,서울 강북구 삼양로 181길 387 (우이령 전경대 위),11090,63268,3903,21845,160,9228
2019,6,서대문구,서울 서대문구 세검정로4길 32 (홍제3동 주민센터) ,11130,75340,3370,14942,309,8549
2019,6,서울숲,서울 성동구 뚝섬로 273 (서울숲 방문자센터 옆),11040,89639,5155,20446,182,11097
2019,6,서초구,서울 서초구 신반포로15길 16 반포 2동 주민센터,11220,159219,5030,12614,357,16977
2019,6,성동구,서울 성동구 뚝섬로3길 18 성수1가1동주민센터,11040,89639,5155,20446,182,11097
